chapter_id,chapter_label,chapter_description,subchapter_id,subchapter_label,subchapter_description,part_id,part_label,part_description,subpart_id,subpart_label,subpart_description,section_number,section_label,section_level,section_title,citation,reserved,volumes,received_on,size,text
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,A,Subpart A—General Provisions,General Provisions,1.1,§ 1.1 General.,§ 1.1,General.,21 CFR 1.1,FALSE,1,2022-02-03T20:50:24-0500,2315,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,A,Subpart A—General Provisions,General Provisions,1.3,§ 1.3 Definitions.,§ 1.3,Definitions.,21 CFR 1.3,FALSE,1,2017-01-05T00:00:00-0500,689,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,A,Subpart A—General Provisions,General Provisions,1.4,§ 1.4 Authority citations.,§ 1.4,Authority citations.,21 CFR 1.4,FALSE,1,2017-01-05T00:00:00-0500,2277,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,B,Subpart B—General Labeling Requirements,General Labeling Requirements,1.2,§ 1.20 Presence of mandatory label information.,§ 1.20,Presence of mandatory label information.,21 CFR 1.20,FALSE,1,2017-01-05T00:00:00-0500,2479,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,B,Subpart B—General Labeling Requirements,General Labeling Requirements,1.21,§ 1.21 Failure to reveal material facts.,§ 1.21,Failure to reveal material facts.,21 CFR 1.21,FALSE,1,2017-01-05T00:00:00-0500,1735,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,B,Subpart B—General Labeling Requirements,General Labeling Requirements,1.23,§ 1.23 Procedures for requesting variations and exemptions from required label statements.,§ 1.23,Procedures for requesting variations and exemptions from required label statements.,21 CFR 1.23,FALSE,1,2017-01-05T00:00:00-0500,2116,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,B,Subpart B—General Labeling Requirements,General Labeling Requirements,1.24,§ 1.24 Exemptions from required label statements.,§ 1.24,Exemptions from required label statements.,21 CFR 1.24,FALSE,1,2020-12-17T21:00:09-0500,18420,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.7,§ 1.70 Scope.,§ 1.70,Scope.,21 CFR 1.70,FALSE,1,2017-01-05T00:00:00-0500,655,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.71,§ 1.71 Definitions.,§ 1.71,Definitions.,21 CFR 1.71,FALSE,1,2023-03-31T21:40:18-0400,3298,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.72,§ 1.72 Data elements that must be submitted in ACE for articles regulated by FDA.,§ 1.72,Data elements that must be submitted in ACE for articles regulated by FDA.,21 CFR 1.72,FALSE,1,2022-11-18T21:00:34-0500,1542,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.73,§ 1.73 Food.,§ 1.73,Food.,21 CFR 1.73,FALSE,1,2017-01-05T00:00:00-0500,1337,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.74,§ 1.74 Human drugs.,§ 1.74,Human drugs.,21 CFR 1.74,FALSE,1,2021-04-02T22:00:09-0400,4221,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.75,§ 1.75 Animal drugs and veterinary devices.,§ 1.75,Animal drugs and veterinary devices.,21 CFR 1.75,FALSE,1,2023-05-05T19:50:29-0400,2891,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.76,§ 1.76 Medical devices.,§ 1.76,Medical devices.,21 CFR 1.76,FALSE,1,2017-01-05T00:00:00-0500,3114,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.77,§ 1.77 Radiation-emitting electronic products.,§ 1.77,Radiation-emitting electronic products.,21 CFR 1.77,FALSE,1,2017-01-05T00:00:00-0500,511,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.78,"§ 1.78 Biological products, HCT/Ps, and related drugs and medical devices.",§ 1.78,"Biological products, HCT/Ps, and related drugs and medical devices.",21 CFR 1.78,FALSE,1,2021-04-02T22:00:09-0400,5457,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.79,§ 1.79 Tobacco products.,§ 1.79,Tobacco products.,21 CFR 1.79,FALSE,1,2017-01-05T00:00:00-0500,770,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.8,§ 1.80 Cosmetics.,§ 1.80,Cosmetics.,21 CFR 1.80,FALSE,1,2017-01-05T00:00:00-0500,310,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,D,Subpart D—Electronic Import Entries,Electronic Import Entries,1.81,§ 1.81 Rejection of entry filing.,§ 1.81,Rejection of entry filing.,21 CFR 1.81,FALSE,1,2017-01-05T00:00:00-0500,366,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,E,Subpart E—Imports and Exports,Imports and Exports,1.83,§ 1.83 Definitions.,§ 1.83,Definitions.,21 CFR 1.83,FALSE,1,2020-08-19T20:00:09-0400,1067,
I,"Chapter I—Food and Drug Administration, Department of Health and Human Services","Food and Drug Administration, Department of Health and Human Services",A,Subchapter A—General,General,1,Part 1—General Enforcement Regulations,General Enforcement Regulations,E,Subpart E—Imports and Exports,Imports and Exports,1.9,§ 1.90 Notice of sampling.,§ 1.90,Notice of sampling.,21 CFR 1.90,FALSE,1,2020-08-19T20:00:09-0400,712,
